lyrics,mood
"Her face, her face didn't change the whole damn time When suddenly suddenly she left the room crying Turned her cards, turned her cards over, they were shocked to find One card, none of them had ever seen dealt Was a heart of hearts  Staring, staring out the window like something's missing Talking, talking himself but not even he is listening Read the letter, read the letter over he was shocked to find Dear you, the heart is nothing but, nothing but a shell For your heart of hearts  Talking bout real love, baby It's such a precious thing It's got to be true love, baby It's such a precious thing It's got to be true love, baby It's such a precious things 'Cause we're all just fumbling, baby Fumbling in the dark For a heart of hearts Wasn't love, wasn't love said it was good enough But something inside, something inside remained untouched Live your life, live your life over, don't be shocked to find Good enough just ain't good enough unless it's felt In your heart of hearts",surprise
"I'll take anyone New York to London They say brave men run to the sound of fun  Fixing to hit you Fixing to hit you Fixing to hit you Fixing to hit you  Ooh, I'll take anyone New York to London They say brave men run to the sound of fun  You'd better make You'd better make You'd better make your bed tonight You'd better take You'd better take You'd better take your breath tonight  Tonight Tonight Tonight Tonight Anyone Anyone Anyone Everyone  Ooh, I'll take everyone New York to the sun They say brave men run to the sound of fun  Fixing to kiss you Fixing to kiss you Fixing to kiss you Fixing to kiss you  All night long All night long All night long All night long  Ooh, kiss you Ooh, kiss you Ooh, kiss you Ooh, kiss you",joy
"All night All night All night ('Til the break of dawn) All night ('Til the break of dawn)  There I was, nearly November Moon shone bright, barely a sliver While across my mind ran all the things that I never Now I like to think that I'm nobody's prisoner I wasn't sure, but I sure was a listener When I thought I heard (All night), I thought I heard the moon whisper  Whispering (All night) Ooh, you will be (All night) Ooh, you will be (All night) Ooh, you will be mine (All night)  Now I don't trouble my mind I don't trouble my mind with signs in the sky That don't mean sometimes I don't wonder why While across my mind (All night) ran memories faded Heard a voice, I couldn't place it Whispering (All night), whispering words so blatant Whispering (All night) Ooh, you will be Ooh, you will be (All night) Ooh, you will be mine And I answered (All night) Maybe one day (All night) Maybe one day (All night) Maybe one day, but not this time (All night)  Whispering (All night) Maybe one day (All night) Maybe one day (All night) Maybe one day, but not this time (All night, I'ma sing my song) (All night) Maybe one day (All night) Maybe one day (All night) Maybe one day, but not this time (All night)  All night 'til the break of dawn Goddammit, I'ma sing my song All night 'til the break of dawn Goddammit, I'ma sing my song  All night All night All night All night All night All night",joy
"Hey ho, there’s an open casting call for heroes And all that showed up was Nero And it’s all blurry but somehow he was hired  Lay low ’cause he’s gone and pissed himself laughing Pissed in the wind and said it was raining Said ""don’t worry, it’ll put out the fire""  If I do say so there’s a lotta more story to unfold 'Cause it’ll twist and it’ll turn till it’s been told That the truth is its own supply  I don’t wanna talk about what was Can we please not talk about what is? Why should we talk about what should be When we could talk about what could be?  Hey ho, somewhere a dreamer ain’t so silly after all Sees a crack where others see only wall Yeah all my heroes are weirdos Yeah all my heroes are weirdos Hey ho, there’s an open casting call for heroes And all that showed up was Nero And it’s all blurry but somehow he was hired  Lay low ’cause he’s gone and pissed himself laughing Pissed in the wind and said it was raining Said ""don’t worry, it’ll put out the fire""  If I do say so there’s a lotta more story to unfold 'Cause it’ll twist and it’ll turn till it’s been told That the truth is its own supply  I don’t wanna talk about what was Can we please not talk about what is? Why should we talk about what should be When we could talk about what could be?  Hey ho, somewhere a dreamer ain’t so silly after all Sees a crack where others see only wall Yeah all my heroes are weirdos Yeah all my heroes are weirdos",anger
"[Verse 1] I was lookin' down You were standing next to me Speaking straight into my face But I wasn't listening It's a thing I do People say it's rude But I'm not sure how, how, how, how, how, how, how How, how, how, how, how  [Interlude] Oh Oh Oh  [Verse 2] I was on my own I was living next to you No idea how to explain myself And tell you what I wanted to do When you looked past me Straight to the future you You had it all figured out, out, out, out, out, out, out Out, out, out, out, out Yeah, figured out [Chorus] Couldn't have known that it wasn't in my eyes to see Couldn't have known that it wasn't in my eyes Couldn't have known that it wasn't in my eyes to see Couldn't have known that it wasn't in my eyes  [Instrumental Break]  [Chorus] Couldn't have known that it wasn't in my eyes to see Couldn't have known that it wasn't in my eyes Couldn't have known that it wasn't in my eyes to see Couldn't have known that it wasn't in my eyes  [Outro] Eyes, eyes, eyes, eyes, eyes, eyes, eyes Eyes, eyes, eyes, eyes, eyes",anger
"Maybe I've been scared, maybe I've known fear Now I only know it from the rear view mirror It wasn't always pretty, it wasn't always nice The voices in my head gave good advice Maybe I used to care that life had been unfair But that's before I realized that I could walk The old days ain't coming back, ain't coming back no more They might as well be tied up in a sack on the ocean floor With cement blocks  Sometimes wish come true But I don't think they will for you You wish that you were that one But that's the nature of one and I'm that one I know you know you wish you were Tell me, tell me, does it hurt? Don't be mad at me, it's all that I can be I did not choose for you to lose  Better than best, better than best, I am Better than best, better than best, I've been And it's been a couple seconds since I first learned my lesson That nothing comes from nothing and dancing is the best revenge Better than best, better than best, never been lesser than Better than best, better than best and dancing is the best revenge Revenge Sure, I still get scared, that's why I'm still here Those same old fears are there, like I said, it's a rear view mirror It wasn't always pretty, it wasn't always nice The voices in my head gave good advice  And one day it all has been So don't forget to leave 'em laughin' And if you got no epitaph then Just leave 'em something in Latin Sometimes wish come true But I don't think they will for you You wish that you were that one But that's the nature of one and I'm that one I'm that one  Better than best, better than best, I am Better than best, better than best, I've been And it's been a couple seconds since I first learned my lesson That nothing comes from nothing and dancing is the best revenge Better than best, better than best, never been lesser than Better than best, better than best and dancing is the best revenge Revenge  One day it all has been So don't forget to leave 'em laughin' (Revenge) And if you got no epitaph then Just leave 'em something in Latin",fear
"[Verse 1] Hey, baby Hey maybe I'm forgetting to say That I stayed with you because I wanted to And you were so very kind You listened to my troubling mind Said ""Leave all that hist'ry behind And deal with life as it's offered to you.""  [Verse 2] Hey, honey You know we'll treat each other just fine If we make the space To have the grace of a natural scene I will listen to you You will listen to me We'll make it up in our own time  [Chorus] You know the next time might be your time To ""love and honor"", to take the bother Just to see this thing through Is that what friends are here for? [Verse 3] Dear companion We could be in Arizona or France What will the world be like, when we see each other free of all circumstance? What difference does it make? Why don't you take a break From whatever puts the pressure on you?  [Verse 4] Oh, listen Can you go back to before you were born? To this time and place and Having to trace who you are day after day? There must have been the light Before the stories took away your sight We're not attached or separate in space  [Chorus] You know the next time might be your time To ""love and honor"", to take the bother Just to see this thing through Is that what friends are here for?  [Verse 4] Oh, listen Can you go back to before you were born? To this time and place and Having to trace who you are day after day? There must have been the light Before the stories took away your sight We're not attached or separate in space [Chorus] You know the next time might be your time To ""love and honor"", to take the bother Just to see this thing through Is that what friends are here for? You know the next time might be your time To ""love and honor"", to take the bother Just to see this thing through Is that what friends are here for?",joy
"[Verse 1] He is in the blue distance He is getting nearer She is in the blue distance She is getting so clear I don’t know where they came from I don’t know how we got here I just turned my back and suddenly you were here  [Verse 2] Oh boy, sometimes it seems like it takes forever And then with your friends it takes no effort all Oh it could be a past turn, attachment illusion That makes distance between me Leading a double, double life  [Verse 3] On the other hand, you know it takes some language An agreement for the moment making dreams ring true So with the resistance comes an angel’s assistance Brings it closer and closer Leading a double life [Verse 4] She is in the blue distance She’s a visiting wonder He’s in the blue distance He’s a dream come true Am I sleeping and waking Or just turning over A cellular wonder Leading a double life? Leading a double life?",joy
"[Verse 1] It feels so weird having my feet on the ground It's been a while since I've been walking around With my own eyes, I can once again see My dream has come true I am free But now that I'm here, there's a mission at hand To drive that witch out of our beautiful land I'll banish the darkness and bring back the light  [Chorus] 'Cause this time I'm ready to fight This is my time, my time to face my old foe My time, reclaim what was ours long ago This is my time to stand up with honor and pride My time, I've come too far to be denied  [Verse 2] Now off I must fly to the palace once more To win back the freedom of all Avalor I've spent my whole life waiting just for this day And nothing will get in my way [Chorus] This is my time, I have a plan that can't fail My time, I won't stop 'til I prevail My time, to honor my family and friends My time, this is my time once again  [Outro] This is my time Once again",fear
"[Verse 1: Elena] It's holiday time The most special of seasons So come gather round To remember the reason It's not all the gifts The food or decorations But the spirit of love That marks this celebration  [Chorus: Elena, Elena & Gabe] So come walk with me Sing along and you'll see On this holiday Let love light the way You need nothing more Than those you adore On this holiday Let love light the way  [Verse 2: All] We all have our ways (We all have our ways) Of observing this evening (Of observing this evening) Yet each of us shares (Yet each of us shares) Something we all believe in (Something we all believe in) What makes this one night Outshine all of the others Is sharing our joy with our sisters and brothers (Our sisters and brothers) [Chorus: All] So come sing with me All together we'll be On this holiday Let love light the way And down every street Are new friends we can meet On this holiday Let love light our way  [Bridge: All, Elena] Every December As we honor all our traditions It's nice to remember That it's not a big competition So let love be your mission  [Chorus: All] So come walk with me Sing along and you'll see On this holiday Let love light the way As we stand around the tree All together we'll be On this holiday Let love light the way You need nothing more than those you adore On this holiday Let love Let love Let love Let love Let love light the way",joy
"[Intro]  Simon Zealotes  [CROWD] Christ, you know I love you; did you see I waved? I believe in you and God, so tell me that I'm saved! Christ, you know I love you; did you see I waved? I believe in you and God, so tell me that I'm saved Jesus, I am with you; touch me, touch me, Jesus! Jesus, I am on your side; kiss me, kiss, me Jesus!  [SIMON ZEALOTES] Christ, what more do you need to convince you That you've made it and you're easily as strong As the filth from Rome who rape our country And who've terrorized our people for so long?  [CROWD] Christ you know I love you; did you see I waved? I believe in you and God, so tell me that I'm saved Christ you know I love you; did you see I waved? I believe in you and God, so tell me that I'm saved Jesus, I am with you; touch me, touch me, Jesus! Jesus, I am on your side; kiss me, kiss me, Jesus! [SIMON ZEALOTES] There must be over fifty thousand Screaming love and more for you And every one of fifty thousand Would do whatever you ask him to Keep them yelling their devotion But add a touch of hate at Rome You will rise to a greater power We will win ourselves a home! You'll get the power and the glory For ever and ever and ever You'll get the power and the glory For ever and ever and ever You'll get the power and the glory For ever and ever and ever For ever and ever and ever  Poor Jerusalem  [JESUS] Neither you, Simon, nor the fifty thousand Nor the Romans, nor the Jews Nor Judas, nor the twelve, nor the Priests, nor the scribes Nor doomed Jerusalem itself Understand what power is Understand what glory is Understand at all Understand at all If you knew all that I knew, my poor Jerusalem You'd see the truth, but you close your eyes But you close your eyes While you live, your troubles are many, poor Jerusalem To conquer death you only have to die You only have to die",sadness
"Do you hear the people sing    Lost in the valley of the night?    It is the music of a people    Who are climbing to the light.        For the wretched of the earth    There is a flame that never dies.    Even the darkest night will end    And the sun will rise.        They will live again in freedom    In the garden of the Lord.    They will walk behind the plough-share,    They will put away the sword.    The chain will be broken    And all men will have their reward.        Will you join in our crusade?    Who will be strong and stand with me?    Somewhere beyond the barricade    Is there a world you long to see?    Do you hear the people sing?    Say, do you hear the distant drums?    It is the future that they bring    When tomorrow comes!        Will you join in our crusade?    Who will be strong and stand with me?    Somewhere beyond the barricade    Is there a world you long to see?    Do you hear the people sing?    Say, do you hear the distant drums?    It is the future that they bring    When tomorrow comes...    Tomorrow comes!    ",sadness
"Refrain:  Leader: O the long John Response: O the long John Leader: He's a-long gone Response: He's a-long gone Leader: Like a turkey through the corn Response: Like a turkey through the corn Leader: He's a-long gone Response: He's a-long gone  Verse 1:  Well my John said In the ten chap ten ""If a man die He will live again"" Well they crucified Jesus And they nailed him to the cross Sister Mary cried ""My child is lost!"" Refrain:  O long John He's long gone He's long gone In the corn, John O big eyed John O John, John It's a-long John  Verse 2:  Says-uh ""Come on gal And-uh shut that do,' "" Says, ""The dogs is comin' And I've got to go.""  Refrain:  It's a-long John He's long gone It's-a long John He's-a long gone  Verse 3: ""Well a-two, three minutes Let me catch my win'; In-a-two, three minutes I'm gone again.""  Refrain:  It's-a long John He's-a long gone He's a long gone He's a long gone  Verse 4:  Well my John said Just before he rain ""Well I'm goin' home See Maryland."" It's-a long John It's-a long John With his long clothes on Like a turkey through the corn Well, my John said On the fourth day Well, to ""Tell my rider That I'm on my way."" Refrain:  It's-a long John He's long gone He's-a long gone It's a long gone  Verse 5:  ""Gonna call this summer Ain't gon' call no mo' If I call next summer Be in Baltimore.""  Refrain:  He's-a long John He's long gone He's long gone He's long gone He's long gone He's long gone (fade out)",sadness
Bingo and Rolly Couple of puppies They bark and chase and chew And there's a guy named Bob who makes up inventions A couple puppies can use But when Bob's away (See you latter pup's) The pups will play On a mission around the world tryin' save the day Pup-pup-pup Puppy dog pals Pup-pup-pup Puppy dog pals Pup-pup-pup Puppy dog pals Pup-pup-pup Puppy dog pals,joy
"[Verse 1] What is this song all about? Can't figure any lyrics out How do the words to it go? I wish you'd tell me, I don't know  [Pre-Chorus] Don't know, don't know, don't know, oh no Don't know, don't know, don't know...  [Chorus] Now I'm mumblin', and I'm screamin' And I don't know what I'm singin' Crank the volume, ears are bleedin' I still don't know what I'm singin' We're so loud and incoherent Boy, this oughta bug your parents  [Post-Chorus 1] Yeah Blergh Haai [Verse 2] It's unintelligible I just can't get it through my skull It's hard to bargle nawdle zouss With all these marbles in my mouth  [Pre-Chorus] Don't know, don't know, don't know, oh no Don't know, don't know, don't know  [Chorus] Well, we don't sound like Madonna Here we are now, we're Nirvana Sing distinctly, we don't wanna Buy our album, we're Nirvana A garage band from Seattle Well, it sure beats raisin' cattle Yeah  [Post-Chorus 2] Moo Baaaa  [Gargling, Kazoo and Tuba Solo]  [Verse 3] And I forgot the next verse Oh well, I guess it pays to rehearse The lyric sheet's so hard to find What are the words? Oh, never mind [Pre-Chorus] Don't know, don't know, don't know, oh no Don't know, don't know, don't know  [Chorus] Well, I'm yellin', and we're playin' But I don't know what I'm sayin' What's the message I'm conveyin'? Can you tell me what I'm sayin'? So, have you got some idea? Didn't think so, well, I'll see ya  [Outro] Sayonara, sayonara Ayonawa, hodinawa Odinaya, yodinaya Yaddayadda, yaaahyaaah Ayiyaaaaaah!",anger
"[Verse 1] I never seem to finish all my food I always get a doggie bag from the waiter So I just keep what's still unchewed And I take it home, save it for later  [Pre-Chorus 1] But then I deal with fungal rot, bacterial formation Microbes, enzymes, mold, and oxidation I don't care; I've got a secret trick up my sleeve I never bother with baggies, glass jars, Tupperware containers Plastic cling wrap, really a no-brainer I just like to keep all my flavors sealed in tight  [Chorus] With aluminum foil (Foil) Never settle for less That kind of wrap is just the best To keep your sandwich nice and fresh Stick it in your cooler (Cooler) Eat it when you're ready But maybe you'll choose (You'll choose, you'll choose, you'll choose) A refreshing herbal tea Mmm, lovely!  [Verse 2] Oh, by the way, I've cracked the code I've figured out these shadow organizations And the Illuminati know That they're finally primed for world domination  [Pre-Chorus 2] And soon you've got black helicopters comin' cross the border Puppet masters for the New World Order Be aware, there's always someone that's watching you And still, the government won't admit they faked the whole moon landing Thought-control rays, psychotronic scanning Don't mind that, I'm protected 'cause I made this hat  [Chorus] From aluminum foil (foil) Wear a hat that's foil lined In case an alien's inclined To probe your butt or read your mind Looks a bit peculiar ('culiar) Seems a little crazy But someday I'll prove (I'll prove, I'll prove, I'll prove) There's a big conspiracy",joy
"I, man, am Regal, a German am I Never odd or even If I had a Hi-Fi Madam, I'm Adam Too hot to hoot No lemons no melon Too bad I hid a boot Lisa Bonet ate no basil Warsaw was raw Was it a car or a cat I saw?  Rise to vote, sir Do geese see God? Do nine men Interpret? Nine men I nod Rats live on no evil star Won't lovers revolt now? Race fast safe car Pa's a sap Ma is as selfless as I am May a moody baby doom a yam [Harmonica Solo]  Ah Satan sees Natasha No devil lived on Lonely Tylenol Not a banana baton No X in Nixon O stone, be not so O Geronimo, no minor ego ""Naomi"" I moan A Toyota's a Toyota A dog, a panic, in a pagoda  Oh no, Don Ho Nurse, I spy gypsies, run! Senile felines Now I see bees, I won UFO tofu We panic in a pew Oozy rat in a sanitary zoo God, a red nugget, a fat egg under a dog Go hang a salami, I'm a lasagna hog",joy
"[Verse 1] How come you're always such a fussy young man Don't want no Cap'n Crunch, don't want no Raisin Bran Well don't you know that other kids are starvin' in Japan So eat it, just eat it Don't want to argue, I don't want to debate Don't want to hear about what kinds of foods you hate You won't get no dessert 'till you clean off your plate So eat it, don't you tell me you're full  [Chorus 1] Just eat it, eat it Get yourself an egg and beat it Have some more chicken Have some more pie It doesn't matter If it's boiled or fried Just eat it, just eat it Just eat it, just eat it, Woo!  [Verse 2] Your table manners are a crying shame You're playing with your food, this ain't some kind of game Now, if you starve to death you'll just have yourself to blame So eat it, just eat it You better listen, better do as you're told You haven't even touched your tuna casserole You better chow down, or it's gonna get cold So eat it, I don't care if you're full [Chorus 2] Just eat it, eat it Open up your mouth and feed it Have some more yogurt Have some more Spam It doesn't matter if it's fresh or canned Just eat it! Eat it! Eat it! Eat it! Don't you make me repeat it! Have a banana, have a whole bunch It doesn't matter what you had for lunch Just eat it! Eat it! Eat it! Eat it!  [Guitar Solo]  [Chorus 3] Eat it! Eat it! If it's getting cold, reheat it Have a big dinner Have a light snack If you don't like it, you can't send it back Just eat it! Eat it! Get yourself an egg and beat it! Have some more chicken. Have some more pie It doesn't matter if it's boiled or fried Just eat it! Eat it! Don't you make me repeat it!",anger
"[Verse 1] Don't wanna be a Canadian idiot Don't wanna be some beer-swillin' hockey nut And do I look like some frostbitten hose-head? I never learned my alphabet from A to Zed  [Chorus] They all live on donuts and moose meat And they leave the house without packin' heat Never even bring their guns to the mall And you know what else is too funny? Their stupid Monopoly money Can't take 'em seriously at all  [Verse 2] Well, maple syrup and snow's what they export They treat curling just like it's a real sport They think their silly accent is so cute Can't understand a thing they're talkin' aboot  [Chorus] Sure, they've got their national healthcare Cheaper meds, low crime rates and clean air Then again, well, they've got Celine Dion Eat their weight in Kraft macaroni And dream of drivin' a Zamboni All over Saskatchewan [Verse 3] Don't wanna be a Canadian idiot Won't figure out their temperature in Celsius See the map, they're hoverin' right over us Tell you the truth, it makes me kinda nervous  [Chorus] Always hear the same kind of story Break their nose and they'll just say ""sorry"" Tell me what kind of freaks are that polite? It's gotta mean they're all up to somethin' So quick, before they see it comin' Time for a pre-emptive strike!",fear
"[Verse 1] Once, there was this kid who Took a trip to Singapore and brought along his spray paint And when he finally came back He had cane marks all over his bottom He said that it was from when The warden whacked it so hard  Mmm mmm mmm mmm, mmm mmm mmm mmm  (flogging, screams)  [Verse 2] Once there was this girl who Swore that one day she would be a figure skating champion And when she finally made it She saw some other girl who was better And so she hired some guy to Club her in the knee cap  [Chorus] (thwacking, screams) [Chorus] [Bridge] They got paid for their sound bytes And sold their TV movie rights  [Verse 3] And then, there was this guy who Made his wife so mad one night that she cut off his weiner And when he finally came to He found that Mr. Happy was missing He couldn't quite explain it It'd always just been there  [Chorus]  Ahh ahh ahh ahh, ahh ahh ahh ahh Ahh ahh ahh ahh, ahh ahh ahh ahh Ahh ahh ahh ahh, ahh ahh ahh ahh Ahh ahh ahh ahh, ahh ahh ahh ahh",anger
